dataset_name,sensitive_name,classifier_name,tot_inputs_aFairSIFT,tot_inputs_bAFT,tot_inputs_cExpGA2,tot_inputs_dSBFT2,disc_inputs_aFairSIFT,disc_inputs_bAFT,disc_inputs_cExpGA2,disc_inputs_dSBFT2,disc_rate_aFairSIFT,disc_rate_bAFT,disc_rate_cExpGA2,disc_rate_dSBFT2,total_generated_aFairSIFT,total_generated_bAFT,total_generated_cExpGA2,total_generated_dSBFT2,duplicates_aFairSIFT,duplicates_bAFT,duplicates_cExpGA2,duplicates_dSBFT2,duplication_rate_aFairSIFT,duplication_rate_bAFT,duplication_rate_cExpGA2,duplication_rate_dSBFT2,elapsed_time_aFairSIFT,elapsed_time_bAFT,elapsed_time_cExpGA2,elapsed_time_dSBFT2,time_to_1000_disc_aFairSIFT,time_to_1000_disc_bAFT,time_to_1000_disc_cExpGA2,time_to_1000_disc_dSBFT2,egs_aFairSIFT,egs_bAFT,egs_cExpGA2,egs_dSBFT2,inference_count_aFairSIFT,inference_count_bAFT,inference_count_cExpGA2,inference_count_dSBFT2,IGR_aFairSIFT,IGR_bAFT,IGR_cExpGA2,IGR_dSBFT2
bank,age,Sequential,"977,819","334,886","520,980","726,434","858,090","100,942","342,664","273,602",87.75,30.14,65.77,37.66,1000000,334886,1000015,1000090,22181,0,479035,273656,2.22,0.00,47.90,27.36,59.39,3312.13,112.78,828.35,0.28,72.42,2.68,5.39,"14,444.98",30.48,"3,038.49",330.32,"5,000","1,053,192","4,999","238,483",171.62,0.10,68.55,1.15
bank,marital,Sequential,"970,024","948,133","508,961","529,250","565,607","125,042","224,258","73,604",58.29,13.19,44.06,13.85,1000000,948133,1000006,1000090,29976,0,491045,470840,3.00,0.00,49.10,47.08,57.05,3305.88,89.38,827.18,0.15,50.97,4.8,11.09,"9,916.00",37.82,"2,508.77",88.96,"5,000","936,329","4,997","238,483",113.12,0.13,44.88,0.31
census,age,Sequential,"994,613","548,943","563,687","805,555","927,993","378,735","403,191","369,372",93.30,68.81,71.53,45.85,1000000,548943,1000059,1000060,5387,0,436372,194505,0.54,0.00,43.63,19.45,58.96,3305.39,119.9,712.16,0.1,41.79,4.89,3.27,"15,739.61",114.59,"3,362.63",518.70,"5,000","1,066,797","4,998","201,625",185.60,0.36,80.67,1.83
census,race,Sequential,"987,225","537,921","471,367","555,252","719,442","76,450","176,795","84,640",72.87,14.22,37.37,15.22,1000000,537921,1000010,1000060,12775,0,528643,444808,1.28,0.00,52.86,44.48,57.54,3304.17,430.02,710.96,0.14,87.59,11.63,10.6,"12,496.64",23.14,419.95,119.08,"5,000","983,751","44,582","201,625",143.89,0.08,3.97,0.42
census,sex,Sequential,"985,385","866,659","537,938","513,786","451,991","78,550","181,498","39,800",45.87,9.07,33.69,7.74,1000000,866659,1000094,1000060,14615,0,462156,486274,1.46,0.00,46.21,48.62,55.38,3256.88,86.8,705.94,2.63,175.88,10.39,12.01,"8,152.83",24.22,"2,082.63",56.37,"5,000","406,115","5,178","201,625",90.40,0.19,35.05,0.20
compas,age,Sequential,"982,463","968,135","518,859","768,103","897,331","883,771","366,559","357,501",91.34,91.21,70.65,46.54,1000000,984981,1000013,1000062,17537,16845,481155,231959,1.75,1.68,48.11,23.19,59.11,3095.68,116.39,753.99,0.1,46.82,2.47,2.7,"15,180.41",286.65,"3,150.78",474.16,"5,000","982,584","4,999","214,299",179.47,0.90,73.33,1.67
compas,race,Sequential,"973,074","500,760","505,479","628,242","637,350","141,584","274,865","170,062",65.50,28.23,54.38,27.06,1000000,500773,1000068,1000062,26926,12,494589,371820,2.69,0.00,49.46,37.18,57.53,3310.02,99.02,754.61,0.14,61.13,3.06,4.79,"11,077.53",42.77,"2,779.45",225.35,"5,000","1,039,877","4,998","214,299",127.47,0.14,54.99,0.79
compas,sex,Sequential,"965,118","1,000,482","498,822","561,148","563,626","298,435","221,754","104,999",58.40,29.83,44.46,18.70,1000000,1001004,1000079,1000062,34882,522,501256,438914,3.49,0.05,50.12,43.89,56.25,1938.42,107.16,748.32,0.14,40.16,10.64,5.39,"10,020.19",153.85,"2,073.25",140.32,"5,000","500,936","6,102","214,299",112.73,0.60,36.34,0.49
credit,age,Sequential,"971,847","463,385","561,272","669,195","865,479","234,203","423,960","266,709",89.06,50.46,75.54,39.85,1000000,463385,1000004,1000086,28153,0,438733,330891,2.82,0.00,43.87,33.09,60.73,3307.1,134.74,969.3,0.1,45.93,2.63,4.48,"14,248.39",70.83,"3,146.56",275.16,"5,000","1,042,934","4,999","282,633",173.10,0.22,84.81,0.94
credit,sex,Sequential,"961,106","1,001,089","542,503","471,542","492,838","160,376","235,763","45,939",51.28,16.02,43.46,9.74,1000000,1001089,1000017,1000086,38894,0,457514,528544,3.89,0.00,45.75,52.85,59.26,2191.67,97.44,966.37,0.2,48.25,2.96,10.45,"8,358.87",73.21,"2,419.33",47.55,"5,000","499,932","4,998","282,633",98.57,0.32,47.17,0.16
meps,sex,Sequential,"990,442","1,001,256","765,437","561,808","737,123","241,059","508,318","168,370",74.42,24.08,66.41,29.97,1000000,1001256,1000000,1000004,9558,0,234563,438196,0.96,0.00,23.46,43.82,62.58,1952,163.77,1485.98,0.12,25.13,3.85,9.23,"11,779.07",123.53,"3,103.79",113.31,"5,000","500,164","4,998","443,822",147.42,0.48,101.70,0.38
,,,"978,101","742,877","545,028","617,301","701,534","247,195","305,420","177,691",71.64,34.11,55.21,26.56,1000000,744457.27,1000033.18,1000065.64,21898.55,1579.91,455005.55,382764.27,2.19,0.16,45.50,38.27,58.53,2934.49,141.58,860.29,0.37,63.28,5.45,7.22,"11,946.77",89.19,"2,553.24",217.21,"5,000","819,328","8,713","248,530",140.31,0.32,57.41,0.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
